customerID,tenure,Contract,MonthlyCharges,TotalCharges,Final_Churn_Probability,Final_Risk_Level,Expected_Remaining_Months,Estimated_LTV,LTV_Value_Segment,Customer_Segment
4376-KFVRS,72,Two year,114.05,8468.2,4.21,Low,22.9896,2621.96,High Value,High Value - Low/Medium Risk
2754-SDJRD,8,Month-to-month,100.15,908.55,76.86,High,5.553600000000001,556.19,Low Value,Low/Medium Value - High Risk
9917-KWRBE,41,One year,78.35,3211.2,4.69,Low,22.874399999999998,1792.21,High Value,High Value - Low/Medium Risk
0365-GXEZS,18,Month-to-month,78.2,1468.75,33.19,Medium,16.0344,1253.89,Medium Value,Low/Medium Value - Low/Medium Risk
9385-NXKDA,72,Two year,82.65,5919.35,2.07,Low,23.5032,1942.54,High Value,High Value - Low/Medium Risk
4686-UXDML,21,Month-to-month,99.85,1992.55,52.14,Medium,11.4864,1146.92,Medium Value,Low/Medium Value - Low/Medium Risk
2227-JRSJX,21,Month-to-month,99.15,1956.4,36.18,Medium,15.3168,1518.66,High Value,High Value - Low/Medium Risk
4830-FAXFM,19,Month-to-month,24.1,439.2,10.91,Low,21.3816,515.3,Low Value,Low/Medium Value - Low/Medium Risk
1830-IPXVJ,61,Two year,19.75,1311.6,0.51,Low,23.8776,471.58,Low Value,Low/Medium Value - Low/Medium Risk
4690-LLKUA,17,Month-to-month,45.05,770.6,33.25,Medium,16.02,721.7,Medium Value,Low/Medium Value - Low/Medium Risk
5804-HYIEZ,70,Month-to-month,106.05,7554.05,29.26,Low,16.977600000000002,1800.47,High Value,High Value - Low/Medium Risk
2388-LAESQ,72,Two year,114.85,8317.95,5.82,Low,22.6032,2595.98,High Value,High Value - Low/Medium Risk
5533-RJFTJ,49,Month-to-month,30.2,1453.1,19.25,Low,19.38,585.28,Low Value,Low/Medium Value - Low/Medium Risk
4706-AXVKM,11,Month-to-month,84.8,906.85,71.56,High,6.8256,578.81,Low Value,Low/Medium Value - High Risk
0997-YTLNY,19,Month-to-month,48.8,953.65,10.21,Low,21.5496,1051.62,Medium Value,Low/Medium Value - Low/Medium Risk
7971-HLVXI,72,Two year,84.5,6130.85,5.72,Low,22.6272,1912.0,High Value,High Value - Low/Medium Risk
7337-CINUD,8,Two year,19.5,159.35,3.14,Low,23.2464,453.3,Low Value,Low/Medium Value - Low/Medium Risk
1379-FRVEB,15,Month-to-month,91.0,1430.05,56.48,Medium,10.4448,950.48,Medium Value,Low/Medium Value - Low/Medium Risk
